worker_id,name,trade,experience_years,skill_tags,service_area_zip,base_hourly_rate,rating_average,is_available,verified_badge,expertise_level
1001,Electrician Worker 1 (BLR),Electrician,15,"Geyser Connection, MCB Box Repair",560103,643.1,4.3,False,False,4
1002,Plumber Worker 2 (BLR),Plumber,1,"Bathroom Leak Fix, Tap/Mixer Installation, Water Tank Cleaning",560103,569.86,4.8,False,True,4
1003,Plumber Worker 3 (BLR),Plumber,13,"Bathroom Leak Fix, Drain Choke Removal, Toilet Flush/Flapper Repair",560037,526.86,4.4,False,False,3
1004,Plumber Worker 4 (BLR),Plumber,3,"Bathroom Leak Fix, Drain Choke Removal, Tap/Mixer Installation",560037,683.08,4.0,True,True,3
1005,Electrician Worker 5 (BLR),Electrician,13,"MCB Box Repair, Geyser Connection, Wiring/Short Circuit",560103,740.98,4.3,False,True,2
1006,Plumber Worker 6 (BLR),Plumber,9,"Drain Choke Removal, Geyser Repair",560066,785.78,4.6,False,False,1
1007,Plumber Worker 7 (BLR),Plumber,3,"Drain Choke Removal, Bathroom Leak Fix, Tap/Mixer Installation, Water Tank Cleaning",560001,760.76,4.5,True,True,4
1008,Electrician Worker 8 (BLR),Electrician,5,"Wiring/Short Circuit, MCB Box Repair",560001,608.8,4.3,False,True,4
1009,Plumber Worker 9 (BLR),Plumber,11,"Geyser Repair, Toilet Flush/Flapper Repair, Bathroom Leak Fix",560037,685.93,3.7,False,False,5
1010,Plumber Worker 10 (BLR),Plumber,12,"Drain Choke Removal, Tap/Mixer Installation, Water Tank Cleaning, Bathroom Leak Fix",560066,544.51,4.6,True,True,3
1011,Plumber Worker 11 (BLR),Plumber,7,"Tap/Mixer Installation, Drain Choke Removal, Water Tank Cleaning, Geyser Repair",560103,436.98,3.9,True,True,4
1012,Electrician Worker 12 (BLR),Electrician,10,"Wiring/Short Circuit, New Meter Box Installation, Inverter/UPS Wiring, MCB Box Repair",560001,767.12,4.4,False,True,3
1013,Electrician Worker 13 (BLR),Electrician,5,"New Meter Box Installation, Light/Fan Installation",560066,564.0,3.8,False,False,3
1014,Electrician Worker 14 (BLR),Electrician,5,"Wiring/Short Circuit, Inverter/UPS Wiring, Geyser Connection, New Meter Box Installation",560075,521.47,4.0,False,True,2
1015,Plumber Worker 15 (BLR),Plumber,1,"Drain Choke Removal, Geyser Repair",560066,345.37,3.9,True,True,3
1016,Electrician Worker 16 (BLR),Electrician,9,"Light/Fan Installation, Geyser Connection, New Meter Box Installation, MCB Box Repair",560001,393.52,3.6,True,True,3
1017,Electrician Worker 17 (BLR),Electrician,12,"MCB Box Repair, Light/Fan Installation, Wiring/Short Circuit, Inverter/UPS Wiring",560103,483.32,4.8,False,True,4
1018,Plumber Worker 18 (BLR),Plumber,6,"Water Tank Cleaning, Bathroom Leak Fix, Toilet Flush/Flapper Repair, Tap/Mixer Installation",560066,366.96,4.3,False,False,3
1019,Plumber Worker 19 (BLR),Plumber,12,"Water Tank Cleaning, Geyser Repair, Drain Choke Removal",560001,341.63,3.9,True,True,3
1020,Plumber Worker 20 (BLR),Plumber,4,"Tap/Mixer Installation, Drain Choke Removal, Geyser Repair",560103,444.58,4.2,False,False,4
1021,Electrician Worker 21 (BLR),Electrician,11,"Wiring/Short Circuit, New Meter Box Installation",560037,703.32,4.0,True,True,4
1022,Electrician Worker 22 (BLR),Electrician,13,"Light/Fan Installation, Geyser Connection",560066,695.43,3.8,False,True,5
1023,Electrician Worker 23 (BLR),Electrician,6,"Inverter/UPS Wiring, MCB Box Repair, Wiring/Short Circuit, Geyser Connection",560075,684.99,3.8,True,False,4
1024,Electrician Worker 24 (BLR),Electrician,6,"Inverter/UPS Wiring, Light/Fan Installation, New Meter Box Installation",560075,359.16,4.5,True,True,3
1025,Electrician Worker 25 (BLR),Electrician,5,"Geyser Connection, MCB Box Repair, Wiring/Short Circuit, New Meter Box Installation",560066,771.99,4.0,True,False,5
1026,Electrician Worker 26 (BLR),Electrician,15,"Light/Fan Installation, MCB Box Repair",560066,605.14,4.4,False,True,2
